table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Johnson County, Texas","24,861","6,572","18,858","12,286","18,341",122,"18,219","4,696",691,"2,155","1,464","4,000",-18,"4,018"
".Jones County, Texas",-109,-183,"1,534","1,717",53,54,-1,217,0,156,156,219,1,218
".Karnes County, Texas",773,202,"1,558","1,356",551,611,-60,-59,8,165,157,-68,86,-154
".Kaufman County, Texas","32,806","6,090","14,487","8,397","26,578",385,"26,193","7,875",740,"1,796","1,056","7,120",-4,"7,124"
".Kendall County, Texas","14,047",68,"3,318","3,250","13,845",479,"13,366","1,828",11,403,392,"1,816",27,"1,789"
".Kenedy County, Texas",-9,12,36,24,-26,81,-107,-33,6,6,0,-39,9,-48
".Kent County, Texas",-46,-43,64,107,-6,0,-6,36,-2,4,6,39,0,39
".Kerr County, Texas","2,956","-1,875","4,812","6,687","4,829",325,"4,504",185,-217,530,747,403,29,374
".Kimble County, Texas",-268,-139,392,531,-130,-2,-128,-1,-18,48,66,16,0,16
".King County, Texas",-13,13,24,11,-26,0,-26,-4,4,4,0,-8,0,-8
".Kinney County, Texas",69,-21,318,339,87,214,-127,-25,-3,37,40,-22,20,-42
".Kleberg County, Texas","-1,381","1,756","4,135","2,379","-3,184",795,"-3,979",-42,157,402,245,-200,41,-241
".Knox County, Texas",-55,-58,434,492,0,39,-39,2,4,41,37,-2,4,-6
".Lamar County, Texas",68,388,"6,062","5,674",-303,31,-334,130,-42,619,661,174,2,172
".Lamb County, Texas","-1,083",355,"1,758","1,403","-1,454",39,"-1,493",-210,26,167,141,-236,0,-236
".Lampasas County, Texas","1,753",215,"2,080","1,865","1,536",187,"1,349",294,-6,204,210,299,1,298
".La Salle County, Texas",634,372,867,495,247,209,38,27,51,92,41,-24,21,-45
".Lavaca County, Texas",890,-242,"2,067","2,309","1,141",89,"1,052",40,-17,224,241,59,12,47
".Lee County, Texas",630,313,"1,868","1,555",327,-53,380,142,44,208,164,99,-9,108
".Leon County, Texas",606,-85,"1,905","1,990",696,33,663,144,-16,196,212,159,4,155
".Liberty County, Texas","12,576","3,020","10,190","7,170","9,567",246,"9,321","2,417",380,"1,208",828,"2,043",-7,"2,050"
".Limestone County, Texas",49,301,"2,741","2,440",-238,220,-458,94,-26,253,279,120,6,114
".Lipscomb County, Texas",-69,150,410,260,-226,63,-289,-109,4,38,34,-113,6,-119
".Live Oak County, Texas",674,55,"1,166","1,111",609,110,499,59,23,129,106,38,12,26
".Llano County, Texas","2,492","-1,371","1,475","2,846","3,820",24,"3,796",195,-187,161,348,379,-4,383
".Loving County, Texas",87,4,16,12,81,0,81,21,1,1,0,20,0,20
".Lubbock County, Texas","31,651","15,457","37,542","22,085","16,145","3,382","12,763","2,942","1,327","3,936","2,609","1,616",250,"1,366"
".Lynn County, Texas",36,197,692,495,-165,4,-169,103,28,71,43,76,1,75
".McCulloch County, Texas",-300,-165,837,"1,002",-133,24,-157,2,-22,86,108,25,3,22
".McLennan County, Texas","21,720","12,714","32,098","19,384","9,135","2,590","6,545","2,427","1,229","3,460","2,231","1,197",164,"1,033"
".McMullen County, Texas",36,2,75,73,31,25,6,12,0,6,6,13,2,11
".Madison County, Texas",614,255,"1,475","1,220",362,173,189,-79,32,170,138,-111,10,-121
".Marion County, Texas",-681,-667,839,"1,506",-5,-7,2,-61,-68,70,138,9,0,9
".Martin County, Texas",972,438,846,408,522,61,461,90,36,86,50,57,0,57
".Mason County, Texas",261,-80,339,419,342,113,229,15,-7,34,41,22,7,15
".Matagorda County, Texas",-59,"1,454","4,938","3,484","-1,508",85,"-1,593",77,149,520,371,-72,7,-79
".Maverick County, Texas","4,464","6,536","9,990","3,454","-2,075","1,598","-3,673",446,649,"1,042",393,-204,79,-283
".Medina County, Texas","5,591","1,482","5,204","3,722","4,120",89,"4,031",722,141,595,454,582,4,578
".Menard County, Texas",-104,-152,162,314,46,16,30,18,-10,16,26,28,1,27
".Midland County, Texas","39,960","15,442","25,290","9,848","24,035","3,246","20,789","4,327","1,858","2,998","1,140","2,452",328,"2,124"
".Milam County, Texas",64,84,"2,780","2,696",-20,116,-136,-222,-17,268,285,-203,5,-208
".Mills County, Texas",-68,-227,373,600,162,13,149,-10,-41,30,71,32,-1,33
".Mitchell County, Texas",-858,39,913,874,-927,-14,-913,20,36,100,64,-15,-1,-14
".Montague County, Texas",98,-388,"2,085","2,473",493,14,479,234,-54,204,258,288,-6,294
".Montgomery County, Texas","151,644","31,720","63,930","32,210","118,697","12,462","106,235","17,621","3,222","7,387","4,165","14,365",942,"13,423"
".Moore County, Texas",-964,"2,506","3,815","1,309","-3,520",957,"-4,477",-143,239,369,130,-386,29,-415
".Morris County, Texas",-546,-169,"1,407","1,576",-368,17,-385,85,-12,141,153,99,-2,101
".Motley County, Texas",-5,-70,84,154,63,0,63,-32,-3,12,15,-28,0,-28
".Nacogdoches County, Texas",680,"2,675","7,926","5,251","-2,014",516,"-2,530",43,166,770,604,-123,2,-125
".Navarro County, Texas","2,273","1,583","6,400","4,817",714,133,581,577,141,678,537,437,9,428
".Newton County, Texas",-850,-240,"1,230","1,470",-610,21,-631,-156,-64,112,176,-94,0,-94
".Nolan County, Texas",-499,216,"1,853","1,637",-719,124,-843,-85,14,187,173,-100,15,-115
".Nueces County, Texas","22,071","17,966","44,155","26,189","4,175","5,392","-1,217",268,"1,491","4,467","2,976","-1,225",346,"-1,571"
".Ochiltree County, Texas",-387,848,"1,595",747,"-1,250",85,"-1,335",-30,75,139,64,-106,-6,-100
".Oldham County, Texas",60,66,206,140,-11,0,-11,-6,12,24,12,-19,0,-19
".Orange County, Texas","1,559","1,420","10,199","8,779",202,1,201,-78,74,"1,014",940,-150,-3,-147
".Palo Pinto County, Texas","1,057",314,"3,311","2,997",752,86,666,315,9,352,343,306,2,304
".Panola County, Texas",-602,74,"2,615","2,541",-668,174,-842,52,-13,254,267,68,15,53
".Parker County, Texas","25,929","3,421","13,166","9,745","22,408",473,"21,935","4,808",396,"1,548","1,152","4,404",35,"4,369"
".Parmer County, Texas",-664,720,"1,402",682,"-1,408",321,"-1,729",-114,85,137,52,-200,19,-219
".Pecos County, Texas",316,863,"1,945","1,082",-538,92,-630,114,90,189,99,24,-1,25
".Polk County, Texas","5,938","-1,225","4,659","5,884","7,062","1,014","6,048","1,398",-146,495,641,"1,531",108,"1,423"
".Potter County, Texas","-3,663","6,846","17,861","11,015","-10,607","5,156","-15,763","-1,296",506,"1,641","1,135","-1,805",416,"-2,221"
".Presidio County, Texas","-1,113",641,"1,064",423,"-1,790",353,"-2,143",-152,49,95,46,-202,19,-221
".Rains County, Texas","1,598",-306,990,"1,296","1,891",80,"1,811",367,5,143,138,359,5,354
".Randall County, Texas","16,993","5,722","15,160","9,438","11,255","1,141","10,114","2,022",485,"1,587","1,102","1,540",66,"1,474"
".Reagan County, Texas",482,322,552,230,154,268,-114,113,40,57,17,75,38,37
".Real County, Texas",143,-154,316,470,294,11,283,-25,-21,32,53,-4,1,-5
".Red River County, Texas",-839,-446,"1,181","1,627",-386,-30,-356,-120,-58,120,178,-59,-4,-55
".Reeves County, Texas","2,193",741,"1,714",973,"1,415",620,795,463,80,186,106,381,51,330
".Refugio County, Texas",-435,-39,779,818,-399,59,-458,-52,15,66,51,-66,1,-67
".Roberts County, Texas",-75,3,87,84,-80,0,-80,-44,-1,8,9,-45,0,-45
".Robertson County, Texas",454,202,"1,948","1,746",255,133,122,-145,41,211,170,-186,12,-198
".Rockwall County, Texas","26,570","4,219","9,308","5,089","22,206",922,"21,284","4,369",428,"1,067",639,"3,935",64,"3,871"
".Runnels County, Texas",-238,-273,996,"1,269",36,98,-62,86,-17,106,123,106,8,98
".Rusk County, Texas","1,097",681,"5,738","5,057",418,57,361,105,5,562,557,104,-13,117
".Sabine County, Texas",-294,-667,882,"1,549",372,-31,403,-34,-44,100,144,12,-4,16
".San Augustine County, Texas",-624,-385,847,"1,232",-237,9,-246,-17,-40,78,118,24,1,23
".San Jacinto County, Texas","2,481",-114,"2,639","2,753","2,590",-114,"2,704",142,-17,298,315,159,-10,169
".San Patricio County, Texas","1,928","3,149","8,905","5,756","-1,232",492,"-1,724",59,331,915,584,-272,46,-318
".San Saba County, Texas",-75,-40,600,640,-39,66,-105,-5,-14,65,79,9,7,2
".Schleicher County, Texas",-668,50,286,236,-725,-5,-720,-87,-5,21,26,-81,0,-81
".Scurry County, Texas",-216,633,"2,232","1,599",-853,81,-934,-109,21,203,182,-130,6,-136
".Shackelford County, Texas",-111,20,301,281,-133,8,-141,9,-2,29,31,11,0,11
".Shelby County, Texas",-174,691,"3,349","2,658",-874,79,-953,-33,44,340,296,-75,-13,-62
".Sherman County, Texas",-12,117,361,244,-132,52,-184,-79,25,39,14,-104,7,-111
".Smith County, Texas","23,026","9,252","28,191","18,939","13,822","2,131","11,691","3,002",792,"2,969","2,177","2,212",92,"2,120"
".Somervell County, Texas",637,-17,789,806,656,0,656,98,-20,85,105,118,-2,120
".Starr County, Texas","3,666","8,374","12,035","3,661","-4,744",754,"-5,498",384,778,"1,178",400,-397,-10,-387
".Stephens County, Texas",-268,-75,953,"1,028",-201,-22,-179,-39,10,108,98,-50,-6,-44
".Sterling County, Texas",148,16,140,124,129,10,119,-13,-6,12,18,-7,0,-7
".Stonewall County, Texas",-140,-68,130,198,-76,6,-82,-2,-4,10,14,3,0,3
".Sutton County, Texas",-352,166,467,301,-530,105,-635,24,10,40,30,15,14,1
".Swisher County, Texas",-462,164,904,740,-632,4,-636,-16,14,80,66,-29,-2,-27
".Tarrant County, Texas","291,851","144,319","257,987","113,668","147,698","59,416","88,282","21,069","13,716","27,512","13,796","7,402","4,856","2,546"
".Taylor County, Texas","6,519","6,901","19,047","12,146",-315,"3,059","-3,374",740,639,"2,062","1,423",107,214,-107
".Terrell County, Texas",-208,-4,97,101,-206,16,-222,-34,-2,6,8,-31,1,-32
".Terry County, Texas",-314,625,"1,778","1,153",-943,80,"-1,023",-7,62,181,119,-69,-2,-67
".Throckmorton County, Texas",-140,-51,129,180,-93,5,-98,-3,-1,10,11,-5,0,-5
".Titus County, Texas",416,"2,088","4,615","2,527","-1,679",289,"-1,968",7,209,473,264,-204,-23,-181
".Tom Green County, Texas","8,972","4,915","14,489","9,574","4,027",482,"3,545","1,186",427,"1,498","1,071",756,-46,802
".Travis County, Texas","249,510","96,403","145,398","48,995","150,669","50,450","100,219","27,382","8,951","15,147","6,196","18,260","4,296","13,964"
".Trinity County, Texas",-24,-784,"1,320","2,104",757,47,710,-37,-93,139,232,57,9,48
".Tyler County, Texas",-88,-536,"1,946","2,482",468,27,441,63,-81,187,268,145,0,145
".Upshur County, Texas","2,442",214,"4,384","4,170","2,248",121,"2,127",574,15,452,437,562,-4,566
".Upton County, Texas",308,182,472,290,118,69,49,20,24,42,18,-4,6,-10
".Uvalde County, Texas",336,"1,413","3,701","2,288","-1,054",146,"-1,200",-46,125,378,253,-171,-36,-135
".Val Verde County, Texas",146,"4,541","7,856","3,315","-4,443",653,"-5,096",37,380,759,379,-344,-15,-329
".Van Zandt County, Texas","4,038",-466,"5,503","5,969","4,524",452,"4,072",624,-21,635,656,649,47,602
".Victoria County, Texas","5,291","4,415","11,754","7,339",868,559,309,206,340,"1,175",835,-131,25,-156
".Walker County, Texas","5,111",977,"5,746","4,769","4,100","1,513","2,587",-165,-1,592,593,-168,151,-319
".Waller County, Texas","11,972","2,955","5,746","2,791","8,930",367,"8,563","1,734",347,683,336,"1,384",25,"1,359"
".Ward County, Texas","1,340",598,"1,632","1,034",723,68,655,289,102,192,90,186,6,180
".Washington County, Texas","2,183",197,"3,691","3,494","1,999",285,"1,714",386,-19,364,383,407,-2,409
".Webb County, Texas","26,348","36,433","48,554","12,121","-10,078","7,043","-17,121","1,532","3,357","4,735","1,378","-1,831",377,"-2,208"
".Wharton County, Texas",276,"1,239","5,165","3,926",-941,18,-959,57,144,564,420,-85,-15,-70
".Wheeler County, Texas",-350,39,662,623,-399,30,-429,-102,-11,53,64,-93,0,-93
".Wichita County, Texas",571,"3,428","15,904","12,476","-2,809","3,205","-6,014",423,222,"1,585","1,363",205,160,45
".Wilbarger County, Texas",-766,81,"1,515","1,434",-858,78,-936,-8,11,154,143,-18,2,-20
".Willacy County, Texas",-778,"1,176","2,724","1,548","-1,965",112,"-2,077",-92,69,252,183,-163,5,-168
".Williamson County, Texas","168,047","35,824","58,658","22,834","130,651","9,887","120,764","24,088","3,676","6,685","3,009","20,312",799,"19,513"
".Wilson County, Texas","8,165","1,233","4,749","3,516","6,883",182,"6,701",874,119,534,415,757,17,740
".Winkler County, Texas",900,538,"1,127",589,345,166,179,232,78,127,49,152,21,131
".Wise County, Texas","10,869","2,010","7,174","5,164","8,861",260,"8,601","1,700",154,789,635,"1,544",14,"1,530"
".Wood County, Texas","3,580","-1,924","3,781","5,705","5,467",-17,"5,484",382,-244,403,647,625,-4,629
".Yoakum County, Texas",834,861,"1,414",553,-29,462,-491,123,99,151,52,24,48,-24
".Young County, Texas",-540,-341,"2,036","2,377",-190,87,-277,24,-36,198,234,61,9,52
".Zapata County, Texas",161,"1,654","2,501",847,"-1,501",15,"-1,516",30,104,214,110,-75,-9,-66
".Zavala County, Texas",163,802,"1,715",913,-637,355,-992,-129,49,153,104,-177,-2,-175
".Beaver County, Utah",81,504,"1,027",523,-433,143,-576,85,54,112,58,33,23,10
".Box Elder County, Utah","6,063","4,529","7,934","3,405","1,538",160,"1,378","1,140",431,808,377,706,26,680
".Cache County, Utah","15,633","16,658","21,518","4,860","-1,037","2,338","-3,375","1,889","1,633","2,194",561,254,247,7
".Carbon County, Utah",-940,519,"2,560","2,041","-1,482",68,"-1,550",230,47,231,184,182,2,180
".Daggett County, Utah",-111,13,90,77,-132,5,-137,-24,5,6,1,-30,0,-30
".Davis County, Utah","48,989","37,395","52,704","15,309","11,734","2,381","9,353","4,380","3,682","5,406","1,724",710,178,532
".Duchesne County, Utah","1,333","2,436","3,709","1,273","-1,120",68,"-1,188",-5,224,352,128,-230,6,-236
".Emery County, Utah",-964,466,"1,306",840,"-1,448",-3,"-1,445",9,18,110,92,-8,-1,-7
".Garfield County, Utah",-121,101,546,445,-227,55,-282,49,13,55,42,37,4,33
".Grand County, Utah",530,368,"1,115",747,159,37,122,68,27,108,81,41,-2,43
".Iron County, Utah","8,676","4,979","7,802","2,823","3,667",-130,"3,797","2,161",507,830,323,"1,645",-30,"1,675"
".Juab County, Utah","1,771","1,080","1,743",663,689,65,624,388,129,208,79,259,14,245
".Kane County, Utah",761,66,744,678,674,-35,709,209,13,79,66,197,-5,202
".Millard County, Utah",685,867,"1,785",918,-188,103,-291,201,100,192,92,103,12,91
".Morgan County, Utah","2,655",946,"1,460",514,"1,706",86,"1,620",168,99,145,46,71,6,65
".Piute County, Utah",-78,-19,125,144,-57,0,-57,41,1,15,14,41,0,41
".Rich County, Utah",219,179,311,132,39,24,15,27,20,31,11,7,3,4
".Salt Lake County, Utah","130,847","103,267","161,949","58,682","28,284","30,766","-2,482","11,745","9,789","16,530","6,741","1,988","3,592","-1,604"
".San Juan County, Utah",563,"1,149","2,111",962,-584,58,-642,-50,58,186,128,-108,1,-109
".Sanpete County, Utah","3,117","1,856","3,583","1,727","1,261",138,"1,123",436,185,373,188,251,10,241
".Sevier County, Utah",819,"1,073","2,871","1,798",-254,17,-271,123,122,310,188,3,3,0
".Summit County, Utah","5,821","2,655","3,985","1,330","3,176",975,"2,201",255,257,416,159,-2,131,-133
".Tooele County, Utah","14,041","5,946","9,138","3,192","8,105",499,"7,606","2,270",672,"1,025",353,"1,598",75,"1,523"
".Uintah County, Utah","3,146","3,880","5,965","2,085",-822,151,-973,329,305,536,231,25,15,10
".Utah County, Utah","119,596","89,028","110,275","21,247","30,713","7,466","23,247","14,715","9,465","11,884","2,419","5,214",959,"4,255"
".Wasatch County, Utah","10,566","2,748","3,947","1,199","7,723",347,"7,376","1,024",307,452,145,713,24,689
".Washington County, Utah","39,441","9,223","20,632","11,409","29,998",100,"29,898","5,989",876,"2,244","1,368","5,085",57,"5,028"
".Wayne County, Utah",-67,58,287,229,-126,50,-176,40,7,30,23,34,6,28
".Weber County, Utah","28,995","20,471","35,978","15,507","8,647","2,145","6,502","4,516","2,153","3,774","1,621","2,348",223,"2,125"
".Addison County, Vermont",-41,-23,"2,880","2,903",4,569,-565,-96,-42,299,341,-52,20,-72
".Bennington County, Vermont","-1,649","-1,029","3,103","4,132",-601,210,-811,-50,-124,323,447,75,15,60
".Caledonia County, Vermont","-1,241",-217,"2,620","2,837","-1,015",-8,"-1,007",-243,-6,272,278,-238,-6,-232
".Chittenden County, Vermont","7,239","4,240","14,226","9,986","3,140","5,446","-2,306",203,299,"1,450","1,151",-93,317,-410
".Essex County, Vermont",-143,-84,486,570,-60,7,-67,-71,-8,51,59,-63,1,-64
".Franklin County, Vermont","1,643","1,593","5,341","3,748",93,239,-146,144,177,569,392,-31,6,-37
".Grand Isle County, Vermont",265,5,553,548,264,9,255,125,11,68,57,114,0,114
".Lamoille County, Vermont",889,532,"2,363","1,831",372,126,246,67,47,228,181,22,4,18
".Orange County, Vermont",-44,63,"2,468","2,405",-79,66,-145,4,-25,255,280,33,2,31
".Orleans County, Vermont",-197,-402,"2,436","2,838",236,128,108,178,-33,247,280,213,6,207
".Rutland County, Vermont","-3,469","-1,379","4,906","6,285","-2,077",113,"-2,190",-405,-171,498,669,-234,8,-242
".Washington County, Vermont","-1,115",243,"5,218","4,975","-1,334",85,"-1,419",330,0,534,534,329,-9,338
".Windham County, Vermont","-2,289",-532,"3,574","4,106","-1,748",176,"-1,924",-413,-78,348,426,-336,-2,-334
".Windsor County, Vermont","-1,596",-957,"4,418","5,375",-601,335,-936,-142,-100,439,539,-38,21,-59
".Accomack County, Virginia",-846,-380,"3,680","4,060",-431,513,-944,-265,-105,384,489,-156,30,-186
".Albemarle County, Virginia","10,332","2,818","10,295","7,477","7,567","2,609","4,958",953,167,"1,061",894,789,133,656
".Alleghany County, Virginia","-1,404",-779,"1,278","2,057",-624,-20,-604,-126,-117,121,238,-8,-5,-3
".Amelia County, Virginia",450,-1,"1,292","1,293",456,32,424,88,0,150,150,89,1,88
".Amherst County, Virginia",-749,-166,"3,013","3,179",-587,47,-634,-79,-76,306,382,1,1,0
".Appomattox County, Virginia",883,60,"1,639","1,579",828,63,765,30,-2,184,186,33,9,24
".Arlington County, Virginia","29,146","20,011","28,654","8,643","8,915","17,445","-8,530",817,"1,867","2,887","1,020","-1,053","1,057","-2,110"
".Augusta County, Virginia","1,805",-550,"5,914","6,464","2,397",252,"2,145",23,-225,534,759,252,24,228
".Bath County, Virginia",-580,-277,328,605,-302,28,-330,-106,-32,30,62,-74,-1,-73
".Bedford County, Virginia","4,068",-531,"6,671","7,202","4,646",299,"4,347",115,-188,679,867,308,19,289
".Bland County, Virginia",-544,-356,422,778,-184,-16,-168,-23,-40,39,79,17,-2,19
".Botetourt County, Virginia",267,-745,"2,309","3,054","1,046",43,"1,003",67,-130,229,359,202,4,198
".Brunswick County, Virginia","-1,195",-556,"1,354","1,910",-623,92,-715,-105,-83,139,222,-21,5,-26
".Buchanan County, Virginia","-3,098",-881,"1,814","2,695","-2,232",134,"-2,366",-365,-125,184,309,-241,12,-253
".Buckingham County, Virginia",8,-79,"1,386","1,465",82,27,55,105,-31,126,157,136,1,135
".Campbell County, Virginia",76,140,"5,214","5,074",-22,448,-470,-252,-99,478,577,-152,33,-185
".Caroline County, Virginia","2,171","1,089","3,563","2,474","1,080",100,980,-26,54,343,289,-79,5,-84
".Carroll County, Virginia",-281,"-1,079","2,258","3,337",827,179,648,50,-184,199,383,236,16,220
".Charles City County, Virginia",-293,-209,527,736,-81,6,-87,-37,-40,52,92,4,1,3
".Charlotte County, Virginia",-717,-243,"1,204","1,447",-465,37,-502,-64,-43,115,158,-21,4,-25
".Chesterfield County, Virginia","36,562","14,029","35,397","21,368","22,822","5,128","17,694","4,521","1,246","3,868","2,622","3,289",257,"3,032"
".Clarke County, Virginia",594,-239,"1,157","1,396",838,8,830,108,-20,122,142,129,-1,130
".Craig County, Virginia",-44,-97,367,464,51,-8,59,29,-23,39,62,51,-1,52
".Culpeper County, Virginia","5,917","2,076","5,893","3,817","3,852",580,"3,272",810,192,659,467,618,48,570
".Cumberland County, Virginia",-107,42,904,862,-148,-8,-140,75,-35,72,107,110,0,110
".Dickenson County, Virginia","-1,559",-548,"1,377","1,925","-1,010",9,"-1,019",-208,-82,123,205,-126,0,-126
".Dinwiddie County, Virginia",532,182,"2,559","2,377",367,183,184,-89,-85,192,277,-3,4,-7
".Essex County, Virginia",-196,-104,"1,097","1,201",-82,62,-144,57,-10,107,117,66,5,61
".Fairfax County, Virginia","65,829","91,341","137,505","46,164","-26,151","81,327","-107,478",-931,"8,061","13,769","5,708","-9,068","5,146","-14,214"
".Fauquier County, Virginia","5,994","1,964","6,930","4,966","4,075",296,"3,779",580,122,727,605,465,12,453
